INSERT INTO PACCHI VALUES
(401, 4, TO_TIMESTAMP('2020-11-09 22:31:00', 'YYYY-MM-DD HH24:MI:SS'), 59, 'Medio', 6.0, FALSE),
(423, 54, TO_TIMESTAMP('2022-03-17 00:03:00', 'YYYY-MM-DD HH24:MI:SS'), 53, 'Grande', 5.25, TRUE),
(424, 99, TO_TIMESTAMP('2020-11-23 01:05:00', 'YYYY-MM-DD HH24:MI:SS'), 48, 'Medio', 7.5, FALSE),
(425, 91, TO_TIMESTAMP('2020-05-05 16:02:00', 'YYYY-MM-DD HH24:MI:SS'), 56, 'Grande', 3.75, TRUE),
(426, 100, TO_TIMESTAMP('2021-06-28 11:34:00', 'YYYY-MM-DD HH24:MI:SS'), 55, 'Grande', 7.5, FALSE),
(427, 83, TO_TIMESTAMP('2021-05-10 19:32:00', 'YYYY-MM-DD HH24:MI:SS'), 51, 'Piccolo', 2.25, TRUE),
(428, 79, TO_TIMESTAMP('2022-06-20 20:47:00', 'YYYY-MM-DD HH24:MI:SS'), 54, 'Medio', 4.5, TRUE),
(429, 55, TO_TIMESTAMP('2021-07-03 05:28:00', 'YYYY-MM-DD HH24:MI:SS'), 45, 'Medio', 5.25, FALSE),
(430, 50, TO_TIMESTAMP('2022-08-31 04:38:00', 'YYYY-MM-DD HH24:MI:SS'), 56, 'Medio', 2.25, FALSE),
(431, 25, TO_TIMESTAMP('2022-06-27 14:51:00', 'YYYY-MM-DD HH24:MI:SS'), 44, 'Medio', 4.5, TRUE),
(432, 75, TO_TIMESTAMP('2020-10-31 11:34:00', 'YYYY-MM-DD HH24:MI:SS'), 46, 'Medio', 3.75, TRUE),
(433, 50, TO_TIMESTAMP('2020-10-09 06:52:00', 'YYYY-MM-DD HH24:MI:SS'), 56, 'Medio', 4.5, FALSE),
(434, 40, TO_TIMESTAMP('2020-07-06 20:45:00', 'YYYY-MM-DD HH24:MI:SS'), 49, 'Piccolo', 0.75, TRUE),
(435, 23, TO_TIMESTAMP('2021-07-01 16:03:00', 'YYYY-MM-DD HH24:MI:SS'), 43, 'Piccolo', 2.25, FALSE),
(436, 50, TO_TIMESTAMP('2022-03-12 18:42:00', 'YYYY-MM-DD HH24:MI:SS'), 43, 'Medio', 3.75, TRUE),
(437, 90, TO_TIMESTAMP('2020-04-04 23:34:00', 'YYYY-MM-DD HH24:MI:SS'), 42, 'Piccolo', 1.5, TRUE),
(438, 28, TO_TIMESTAMP('2022-10-04 06:14:00', 'YYYY-MM-DD HH24:MI:SS'), 51, 'Medio', 1.5, FALSE),
(439, 10, TO_TIMESTAMP('2020-10-22 16:21:00', 'YYYY-MM-DD HH24:MI:SS'), 60, 'Medio', 6.75, TRUE),
(440, 84, TO_TIMESTAMP('2020-08-20 17:47:00', 'YYYY-MM-DD HH24:MI:SS'), 60, 'Medio', 2.25, TRUE),
(441, 1, TO_TIMESTAMP('2021-05-10 13:08:00', 'YYYY-MM-DD HH24:MI:SS'), 48, 'Medio', 2.25, FALSE),
(442, 8, TO_TIMESTAMP('2021-08-10 13:01:00', 'YYYY-MM-DD HH24:MI:SS'), 42, 'Grande', 6.0, TRUE),
(443, 66, TO_TIMESTAMP('2020-05-06 06:35:00', 'YYYY-MM-DD HH24:MI:SS'), 50, 'Grande', 6.75, FALSE),
(444, 69, TO_TIMESTAMP('2022-10-09 02:03:00', 'YYYY-MM-DD HH24:MI:SS'), 58, 'Grande', 3.75, TRUE),
(445, 95, TO_TIMESTAMP('2020-10-17 19:49:00', 'YYYY-MM-DD HH24:MI:SS'), 55, 'Medio', 3.0, TRUE),
(446, 82, TO_TIMESTAMP('2020-02-02 04:51:00', 'YYYY-MM-DD HH24:MI:SS'), 43, 'Medio', 0.75, FALSE),
(447, 85, TO_TIMESTAMP('2021-02-28 19:12:00', 'YYYY-MM-DD HH24:MI:SS'), 58, 'Grande', 1.5, TRUE),
(448, 21, TO_TIMESTAMP('2021-09-24 08:56:00', 'YYYY-MM-DD HH24:MI:SS'), 44, 'Grande', 3.0, TRUE),
(449, 63, TO_TIMESTAMP('2022-10-20 06:40:00', 'YYYY-MM-DD HH24:MI:SS'), 43, 'Medio', 2.25, TRUE),
(450, 79, TO_TIMESTAMP('2020-06-15 19:43:00', 'YYYY-MM-DD HH24:MI:SS'), 51, 'Medio', 1.5, TRUE),
(451, 11, TO_TIMESTAMP('2022-04-28 18:25:00', 'YYYY-MM-DD HH24:MI:SS'), 57, 'Piccolo', 7.5, TRUE),
(452, 68, TO_TIMESTAMP('2021-03-30 14:55:00', 'YYYY-MM-DD HH24:MI:SS'), 57, 'Grande', 0.75, TRUE),
(453, 16, TO_TIMESTAMP('2020-04-11 04:08:00', 'YYYY-MM-DD HH24:MI:SS'), 54, 'Grande', 7.5, TRUE),
(454, 96, TO_TIMESTAMP('2020-02-26 21:45:00', 'YYYY-MM-DD HH24:MI:SS'), 59, 'Piccolo', 5.25, FALSE),
(455, 58, TO_TIMESTAMP('2022-04-30 10:03:00', 'YYYY-MM-DD HH24:MI:SS'), 60, 'Piccolo', 1.5, TRUE),
(456, 55, TO_TIMESTAMP('2020-04-16 22:30:00', 'YYYY-MM-DD HH24:MI:SS'), 53, 'Medio', 7.5, FALSE),
(457, 87, TO_TIMESTAMP('2023-04-08 10:48:00', 'YYYY-MM-DD HH24:MI:SS'), 59, 'Grande', 6.0, FALSE),
(458, 87, TO_TIMESTAMP('2022-12-12 03:11:00', 'YYYY-MM-DD HH24:MI:SS'), 49, 'Grande', 7.5, FALSE),
(459, 11, TO_TIMESTAMP('2020-12-23 18:23:00', 'YYYY-MM-DD HH24:MI:SS'), 55, 'Medio', 2.25, TRUE),
(460, 21, TO_TIMESTAMP('2022-06-10 17:33:00', 'YYYY-MM-DD HH24:MI:SS'), 41, 'Grande', 5.25, FALSE),
(461, 1, TO_TIMESTAMP('2020-05-07 08:24:00', 'YYYY-MM-DD HH24:MI:SS'), 44, 'Medio', 7.5, FALSE),
(462, 85, TO_TIMESTAMP('2023-03-26 00:44:00', 'YYYY-MM-DD HH24:MI:SS'), 43, 'Piccolo', 4.5, TRUE),
(463, 71, TO_TIMESTAMP('2022-06-27 14:58:00', 'YYYY-MM-DD HH24:MI:SS'), 45, 'Medio', 4.5, FALSE),
(464, 39, TO_TIMESTAMP('2022-08-28 14:17:00', 'YYYY-MM-DD HH24:MI:SS'), 57, 'Grande', 7.5, TRUE),
(465, 66, TO_TIMESTAMP('2021-12-24 03:17:00', 'YYYY-MM-DD HH24:MI:SS'), 58, 'Medio', 2.25, TRUE),
(466, 70, TO_TIMESTAMP('2021-08-01 13:00:00', 'YYYY-MM-DD HH24:MI:SS'), 56, 'Piccolo', 0.75, FALSE),
(467, 76, TO_TIMESTAMP('2022-03-06 04:12:00', 'YYYY-MM-DD HH24:MI:SS'), 52, 'Grande', 1.5, TRUE),
(468, 8, TO_TIMESTAMP('2022-06-10 23:20:00', 'YYYY-MM-DD HH24:MI:SS'), 52, 'Piccolo', 3.75, FALSE),
(469, 20, TO_TIMESTAMP('2022-07-25 16:55:00', 'YYYY-MM-DD HH24:MI:SS'), 41, 'Grande', 6.0, TRUE),
(470, 26, TO_TIMESTAMP('2021-10-12 04:49:00', 'YYYY-MM-DD HH24:MI:SS'), 60, 'Grande', 3.0, TRUE),
(471, 71, TO_TIMESTAMP('2022-03-18 01:17:00', 'YYYY-MM-DD HH24:MI:SS'), 60, 'Grande', 4.5, TRUE),
(472, 73, TO_TIMESTAMP('2022-04-20 13:45:00', 'YYYY-MM-DD HH24:MI:SS'), 55, 'Piccolo', 3.75, FALSE),
(473, 32, TO_TIMESTAMP('2020-12-25 08:03:00', 'YYYY-MM-DD HH24:MI:SS'), 44, 'Grande', 2.25, TRUE),
(474, 53, TO_TIMESTAMP('2022-04-30 05:59:00', 'YYYY-MM-DD HH24:MI:SS'), 52, 'Medio', 4.5, FALSE),
(475, 100, TO_TIMESTAMP('2021-07-03 04:48:00', 'YYYY-MM-DD HH24:MI:SS'), 45, 'Grande', 6.75, FALSE),
(476, 11, TO_TIMESTAMP('2023-03-12 10:53:00', 'YYYY-MM-DD HH24:MI:SS'), 54, 'Medio', 3.0, TRUE),
(477, 100, TO_TIMESTAMP('2020-03-19 10:24:00', 'YYYY-MM-DD HH24:MI:SS'), 59, 'Piccolo', 1.5, FALSE),
(478, 24, TO_TIMESTAMP('2020-08-01 23:53:00', 'YYYY-MM-DD HH24:MI:SS'), 54, 'Piccolo', 6.0, FALSE),
(479, 26, TO_TIMESTAMP('2020-08-28 07:35:00', 'YYYY-MM-DD HH24:MI:SS'), 42, 'Medio', 6.75, FALSE),
(480, 60, TO_TIMESTAMP('2020-11-18 11:26:00', 'YYYY-MM-DD HH24:MI:SS'), 58, 'Piccolo', 3.75, FALSE),
(481, 7, TO_TIMESTAMP('2023-02-09 19:53:00', 'YYYY-MM-DD HH24:MI:SS'), 51, 'Medio', 3.75, FALSE),
(482, 61, TO_TIMESTAMP('2020-09-01 03:34:00', 'YYYY-MM-DD HH24:MI:SS'), 57, 'Medio', 5.25, TRUE),
(483, 25, TO_TIMESTAMP('2022-07-13 07:02:00', 'YYYY-MM-DD HH24:MI:SS'), 58, 'Medio', 7.5, FALSE),
(484, 90, TO_TIMESTAMP('2021-12-02 10:06:00', 'YYYY-MM-DD HH24:MI:SS'), 51, 'Grande', 5.25, FALSE),
(485, 55, TO_TIMESTAMP('2020-06-13 00:46:00', 'YYYY-MM-DD HH24:MI:SS'), 51, 'Medio', 3.75, FALSE),
(486, 78, TO_TIMESTAMP('2020-05-22 20:17:00', 'YYYY-MM-DD HH24:MI:SS'), 42, 'Grande', 7.5, TRUE),
(487, 73, TO_TIMESTAMP('2022-09-08 18:44:00', 'YYYY-MM-DD HH24:MI:SS'), 55, 'Medio', 5.25, FALSE),
(488, 7, TO_TIMESTAMP('2023-03-28 12:50:00', 'YYYY-MM-DD HH24:MI:SS'), 57, 'Medio', 2.25, TRUE),
(489, 28, TO_TIMESTAMP('2021-01-31 09:40:00', 'YYYY-MM-DD HH24:MI:SS'), 48, 'Piccolo', 6.75, FALSE),
(490, 80, TO_TIMESTAMP('2021-10-29 09:31:00', 'YYYY-MM-DD HH24:MI:SS'), 41, 'Medio', 4.5, TRUE),
(491, 58, TO_TIMESTAMP('2022-05-09 22:27:00', 'YYYY-MM-DD HH24:MI:SS'), 58, 'Medio', 1.5, TRUE),
(492, 88, TO_TIMESTAMP('2020-11-06 07:27:00', 'YYYY-MM-DD HH24:MI:SS'), 46, 'Grande', 5.25, FALSE),
(493, 82, TO_TIMESTAMP('2021-10-06 23:47:00', 'YYYY-MM-DD HH24:MI:SS'), 46, 'Piccolo', 4.5, TRUE),
(494, 39, TO_TIMESTAMP('2020-12-25 09:09:00', 'YYYY-MM-DD HH24:MI:SS'), 47, 'Grande', 6.0, TRUE),
(495, 53, TO_TIMESTAMP('2021-02-24 10:30:00', 'YYYY-MM-DD HH24:MI:SS'), 50, 'Grande', 0.75, FALSE),
(496, 13, TO_TIMESTAMP('2022-08-11 12:09:00', 'YYYY-MM-DD HH24:MI:SS'), 57, 'Piccolo', 3.0, FALSE),
(497, 77, TO_TIMESTAMP('2022-10-04 13:23:00', 'YYYY-MM-DD HH24:MI:SS'), 58, 'Piccolo', 7.5, TRUE),
(498, 10, TO_TIMESTAMP('2021-08-23 06:37:00', 'YYYY-MM-DD HH24:MI:SS'), 57, 'Piccolo', 7.5, TRUE),
(499, 92, TO_TIMESTAMP('2021-10-29 09:25:00', 'YYYY-MM-DD HH24:MI:SS'), 49, 'Medio', 1.5, TRUE),
(500, 21, TO_TIMESTAMP('2021-03-13 02:29:00', 'YYYY-MM-DD HH24:MI:SS'), 57, 'Grande', 6.0, TRUE),
(501, 85, TO_TIMESTAMP('2022-07-22 06:49:00', 'YYYY-MM-DD HH24:MI:SS'), 50, 'Piccolo', 6.0, FALSE),
(502, 65, TO_TIMESTAMP('2021-10-13 06:30:00', 'YYYY-MM-DD HH24:MI:SS'), 48, 'Medio', 2.25, TRUE),
(503, 13, TO_TIMESTAMP('2020-07-14 01:32:00', 'YYYY-MM-DD HH24:MI:SS'), 44, 'Grande', 2.25, TRUE),
(504, 60, TO_TIMESTAMP('2021-12-02 16:51:00', 'YYYY-MM-DD HH24:MI:SS'), 60, 'Grande', 3.0, FALSE),
(505, 55, TO_TIMESTAMP('2020-07-10 10:37:00', 'YYYY-MM-DD HH24:MI:SS'), 44, 'Grande', 4.5, TRUE),
(506, 99, TO_TIMESTAMP('2022-11-15 02:48:00', 'YYYY-MM-DD HH24:MI:SS'), 50, 'Medio', 1.5, TRUE),
(507, 56, TO_TIMESTAMP('2021-01-09 21:28:00', 'YYYY-MM-DD HH24:MI:SS'), 50, 'Grande', 4.5, TRUE),
(508, 94, TO_TIMESTAMP('2020-05-23 13:18:00', 'YYYY-MM-DD HH24:MI:SS'), 44, 'Piccolo', 6.75, FALSE),
(509, 10, TO_TIMESTAMP('2022-05-26 11:52:00', 'YYYY-MM-DD HH24:MI:SS'), 59, 'Piccolo', 2.25, TRUE),
(510, 41, TO_TIMESTAMP('2022-12-12 16:54:00', 'YYYY-MM-DD HH24:MI:SS'), 48, 'Medio', 6.0, TRUE),
(511, 16, TO_TIMESTAMP('2020-04-12 07:03:00', 'YYYY-MM-DD HH24:MI:SS'), 53, 'Piccolo', 7.5, FALSE),
(512, 41, TO_TIMESTAMP('2022-06-08 21:01:00', 'YYYY-MM-DD HH24:MI:SS'), 55, 'Medio', 3.75, TRUE),
(513, 36, TO_TIMESTAMP('2020-11-22 02:31:00', 'YYYY-MM-DD HH24:MI:SS'), 46, 'Piccolo', 2.25, FALSE),
(514, 57, TO_TIMESTAMP('2022-10-01 04:54:00', 'YYYY-MM-DD HH24:MI:SS'), 49, 'Piccolo', 7.5, FALSE),
(515, 1, TO_TIMESTAMP('2022-08-05 17:26:00', 'YYYY-MM-DD HH24:MI:SS'), 59, 'Medio', 3.75, FALSE),
(516, 10, TO_TIMESTAMP('2021-01-01 14:02:00', 'YYYY-MM-DD HH24:MI:SS'), 58, 'Piccolo', 5.25, FALSE),
(517, 28, TO_TIMESTAMP('2023-02-15 08:39:00', 'YYYY-MM-DD HH24:MI:SS'), 46, 'Medio', 5.25, FALSE),
(518, 93, TO_TIMESTAMP('2020-06-12 02:17:00', 'YYYY-MM-DD HH24:MI:SS'), 46, 'Piccolo', 5.25, FALSE),
(519, 48, TO_TIMESTAMP('2020-08-12 07:45:00', 'YYYY-MM-DD HH24:MI:SS'), 48, 'Grande', 6.75, TRUE),
(520, 80, TO_TIMESTAMP('2020-09-16 00:49:00', 'YYYY-MM-DD HH24:MI:SS'), 60, 'Medio', 6.0, FALSE),
(521, 83, TO_TIMESTAMP('2022-02-20 14:14:00', 'YYYY-MM-DD HH24:MI:SS'), 42, 'Grande', 5.25, FALSE),
(522, 14, TO_TIMESTAMP('2022-02-06 15:19:00', 'YYYY-MM-DD HH24:MI:SS'), 56, 'Piccolo', 6.75, FALSE),
(523, 50, TO_TIMESTAMP('2020-12-13 14:26:00', 'YYYY-MM-DD HH24:MI:SS'), 49, 'Medio', 3.75, TRUE),
(524, 59, TO_TIMESTAMP('2021-01-12 07:06:00', 'YYYY-MM-DD HH24:MI:SS'), 56, 'Medio', 2.25, FALSE),
(525, 63, TO_TIMESTAMP('2022-05-07 14:29:00', 'YYYY-MM-DD HH24:MI:SS'), 49, 'Piccolo', 6.75, FALSE),
(526, 13, TO_TIMESTAMP('2020-05-31 06:14:00', 'YYYY-MM-DD HH24:MI:SS'), 42, 'Medio', 3.0, TRUE),
(527, 35, TO_TIMESTAMP('2022-12-19 15:53:00', 'YYYY-MM-DD HH24:MI:SS'), 55, 'Medio', 3.0, TRUE),
(528, 11, TO_TIMESTAMP('2021-09-20 17:07:00', 'YYYY-MM-DD HH24:MI:SS'), 41, 'Grande', 2.25, TRUE),
(529, 84, TO_TIMESTAMP('2021-04-08 19:52:00', 'YYYY-MM-DD HH24:MI:SS'), 53, 'Piccolo', 4.5, FALSE),
(530, 69, TO_TIMESTAMP('2023-03-22 21:32:00', 'YYYY-MM-DD HH24:MI:SS'), 47, 'Piccolo', 6.0, FALSE),
(531, 39, TO_TIMESTAMP('2021-06-21 17:18:00', 'YYYY-MM-DD HH24:MI:SS'), 50, 'Grande', 3.75, TRUE),
(532, 7, TO_TIMESTAMP('2022-08-22 01:34:00', 'YYYY-MM-DD HH24:MI:SS'), 41, 'Medio', 5.25, FALSE),
(533, 83, TO_TIMESTAMP('2020-08-08 23:07:00', 'YYYY-MM-DD HH24:MI:SS'), 49, 'Grande', 2.25, TRUE),
(534, 82, TO_TIMESTAMP('2022-12-25 23:29:00', 'YYYY-MM-DD HH24:MI:SS'), 52, 'Piccolo', 2.25, FALSE),
(535, 93, TO_TIMESTAMP('2020-12-22 08:49:00', 'YYYY-MM-DD HH24:MI:SS'), 46, 'Grande', 3.0, FALSE),
(536, 61, TO_TIMESTAMP('2021-04-27 12:44:00', 'YYYY-MM-DD HH24:MI:SS'), 54, 'Medio', 0.75, TRUE),
(537, 70, TO_TIMESTAMP('2020-09-21 14:39:00', 'YYYY-MM-DD HH24:MI:SS'), 45, 'Grande', 0.75, FALSE),
(538, 41, TO_TIMESTAMP('2021-05-15 00:31:00', 'YYYY-MM-DD HH24:MI:SS'), 42, 'Medio', 3.75, FALSE),
(539, 90, TO_TIMESTAMP('2022-03-08 21:06:00', 'YYYY-MM-DD HH24:MI:SS'), 54, 'Piccolo', 5.25, FALSE),
(540, 7, TO_TIMESTAMP('2022-05-07 23:41:00', 'YYYY-MM-DD HH24:MI:SS'), 43, 'Piccolo', 0.75, FALSE),
(541, 70, TO_TIMESTAMP('2022-07-24 10:09:00', 'YYYY-MM-DD HH24:MI:SS'), 60, 'Grande', 6.75, FALSE),
(542, 33, TO_TIMESTAMP('2022-04-28 00:35:00', 'YYYY-MM-DD HH24:MI:SS'), 48, 'Medio', 3.0, TRUE),
(543, 97, TO_TIMESTAMP('2021-03-03 06:58:00', 'YYYY-MM-DD HH24:MI:SS'), 47, 'Grande', 2.25, TRUE),
(544, 72, TO_TIMESTAMP('2020-12-28 05:31:00', 'YYYY-MM-DD HH24:MI:SS'), 45, 'Grande', 4.5, TRUE),
(545, 36, TO_TIMESTAMP('2021-03-08 20:38:00', 'YYYY-MM-DD HH24:MI:SS'), 53, 'Piccolo', 4.5, TRUE),
(546, 83, TO_TIMESTAMP('2020-06-28 00:42:00', 'YYYY-MM-DD HH24:MI:SS'), 46, 'Medio', 3.0, TRUE),
(547, 19, TO_TIMESTAMP('2021-07-27 02:20:00', 'YYYY-MM-DD HH24:MI:SS'), 56, 'Piccolo', 4.5, TRUE),
(548, 18, TO_TIMESTAMP('2021-08-13 07:35:00', 'YYYY-MM-DD HH24:MI:SS'), 59, 'Piccolo', 2.25, TRUE),
(549, 70, TO_TIMESTAMP('2021-02-19 08:06:00', 'YYYY-MM-DD HH24:MI:SS'), 54, 'Medio', 6.75, TRUE),
(550, 39, TO_TIMESTAMP('2020-11-22 12:01:00', 'YYYY-MM-DD HH24:MI:SS'), 42, 'Grande', 6.75, TRUE),
(551, 52, TO_TIMESTAMP('2021-12-29 00:19:00', 'YYYY-MM-DD HH24:MI:SS'), 54, 'Piccolo', 3.0, FALSE),
(552, 59, TO_TIMESTAMP('2020-07-15 01:38:00', 'YYYY-MM-DD HH24:MI:SS'), 42, 'Piccolo', 6.75, FALSE),
(553, 99, TO_TIMESTAMP('2021-11-15 21:53:00', 'YYYY-MM-DD HH24:MI:SS'), 43, 'Piccolo', 0.75, FALSE),
(554, 37, TO_TIMESTAMP('2022-04-30 10:47:00', 'YYYY-MM-DD HH24:MI:SS'), 53, 'Piccolo', 0.75, FALSE),
(555, 99, TO_TIMESTAMP('2020-10-29 05:57:00', 'YYYY-MM-DD HH24:MI:SS'), 60, 'Grande', 5.25, FALSE),
(556, 75, TO_TIMESTAMP('2022-10-08 19:35:00', 'YYYY-MM-DD HH24:MI:SS'), 46, 'Piccolo', 3.0, FALSE),
(557, 21, TO_TIMESTAMP('2020-10-16 07:00:00', 'YYYY-MM-DD HH24:MI:SS'), 54, 'Grande', 3.75, FALSE),
(558, 88, TO_TIMESTAMP('2021-01-26 23:43:00', 'YYYY-MM-DD HH24:MI:SS'), 44, 'Medio', 7.5, FALSE),
(559, 62, TO_TIMESTAMP('2021-03-25 16:11:00', 'YYYY-MM-DD HH24:MI:SS'), 57, 'Medio', 2.25, FALSE),
(560, 45, TO_TIMESTAMP('2022-09-11 12:26:00', 'YYYY-MM-DD HH24:MI:SS'), 42, 'Grande', 4.5, FALSE),
(561, 32, TO_TIMESTAMP('2020-10-29 02:49:00', 'YYYY-MM-DD HH24:MI:SS'), 46, 'Medio', 4.5, TRUE),
(562, 46, TO_TIMESTAMP('2021-12-16 17:06:00', 'YYYY-MM-DD HH24:MI:SS'), 43, 'Grande', 4.5, TRUE),
(563, 80, TO_TIMESTAMP('2021-07-15 16:32:00', 'YYYY-MM-DD HH24:MI:SS'), 53, 'Piccolo', 3.75, TRUE),
(564, 69, TO_TIMESTAMP('2021-06-01 12:40:00', 'YYYY-MM-DD HH24:MI:SS'), 48, 'Piccolo', 7.5, FALSE),
(565, 98, TO_TIMESTAMP('2022-05-29 04:58:00', 'YYYY-MM-DD HH24:MI:SS'), 42, 'Grande', 6.75, FALSE),
(566, 60, TO_TIMESTAMP('2020-12-24 15:22:00', 'YYYY-MM-DD HH24:MI:SS'), 59, 'Grande', 2.25, FALSE),
(567, 38, TO_TIMESTAMP('2020-07-22 20:06:00', 'YYYY-MM-DD HH24:MI:SS'), 50, 'Grande', 6.75, TRUE),
(568, 75, TO_TIMESTAMP('2020-07-02 00:03:00', 'YYYY-MM-DD HH24:MI:SS'), 57, 'Piccolo', 3.0, FALSE),
(569, 48, TO_TIMESTAMP('2022-12-11 16:20:00', 'YYYY-MM-DD HH24:MI:SS'), 50, 'Medio', 0.75, FALSE),
(570, 89, TO_TIMESTAMP('2020-12-23 02:38:00', 'YYYY-MM-DD HH24:MI:SS'), 58, 'Medio', 0.75, TRUE),
(571, 61, TO_TIMESTAMP('2022-12-06 01:28:00', 'YYYY-MM-DD HH24:MI:SS'), 43, 'Grande', 5.25, FALSE),
(572, 81, TO_TIMESTAMP('2021-04-09 20:48:00', 'YYYY-MM-DD HH24:MI:SS'), 46, 'Grande', 2.25, FALSE),
(573, 35, TO_TIMESTAMP('2021-04-29 17:05:00', 'YYYY-MM-DD HH24:MI:SS'), 48, 'Grande', 6.75, FALSE),
(574, 51, TO_TIMESTAMP('2022-06-26 11:59:00', 'YYYY-MM-DD HH24:MI:SS'), 50, 'Grande', 3.0, FALSE),
(575, 82, TO_TIMESTAMP('2022-09-16 19:53:00', 'YYYY-MM-DD HH24:MI:SS'), 46, 'Piccolo', 6.0, FALSE),
(576, 54, TO_TIMESTAMP('2022-05-24 21:49:00', 'YYYY-MM-DD HH24:MI:SS'), 49, 'Grande', 6.75, TRUE),
(577, 72, TO_TIMESTAMP('2022-12-19 23:59:00', 'YYYY-MM-DD HH24:MI:SS'), 42, 'Grande', 0.75, TRUE),
(578, 63, TO_TIMESTAMP('2021-04-03 03:50:00', 'YYYY-MM-DD HH24:MI:SS'), 45, 'Medio', 3.0, FALSE),
(579, 36, TO_TIMESTAMP('2022-09-14 12:16:00', 'YYYY-MM-DD HH24:MI:SS'), 54, 'Grande', 5.25, TRUE),
(580, 49, TO_TIMESTAMP('2021-12-02 00:02:00', 'YYYY-MM-DD HH24:MI:SS'), 44, 'Piccolo', 0.75, TRUE),
(581, 67, TO_TIMESTAMP('2023-01-14 00:58:00', 'YYYY-MM-DD HH24:MI:SS'), 41, 'Grande', 1.5, TRUE),
(582, 68, TO_TIMESTAMP('2022-05-10 17:46:00', 'YYYY-MM-DD HH24:MI:SS'), 60, 'Medio', 2.25, FALSE),
(583, 16, TO_TIMESTAMP('2021-04-28 07:59:00', 'YYYY-MM-DD HH24:MI:SS'), 54, 'Grande', 7.5, TRUE),
(584, 38, TO_TIMESTAMP('2021-04-11 21:59:00', 'YYYY-MM-DD HH24:MI:SS'), 59, 'Medio', 1.5, TRUE),
(585, 15, TO_TIMESTAMP('2021-04-09 01:20:00', 'YYYY-MM-DD HH24:MI:SS'), 56, 'Grande', 3.0, FALSE),
(586, 98, TO_TIMESTAMP('2022-11-12 07:01:00', 'YYYY-MM-DD HH24:MI:SS'), 57, 'Medio', 6.75, TRUE),
