INSERT INTO PACCHI VALUES
(1, 16, TO_TIMESTAMP('2020-12-23 02:52:00', 'YYYY-MM-DD HH24:MI:SS'), 44, 'Piccolo', 3.0, TRUE),
(36, 78, TO_TIMESTAMP('2021-09-11 16:34:00', 'YYYY-MM-DD HH24:MI:SS'), 46, 'Piccolo', 0.75, FALSE),
(37, 91, TO_TIMESTAMP('2021-09-14 10:21:00', 'YYYY-MM-DD HH24:MI:SS'), 50, 'Grande', 6.75, TRUE),
(38, 1, TO_TIMESTAMP('2021-02-04 22:34:00', 'YYYY-MM-DD HH24:MI:SS'), 53, 'Piccolo', 7.5, TRUE),
(39, 76, TO_TIMESTAMP('2021-09-03 13:34:00', 'YYYY-MM-DD HH24:MI:SS'), 53, 'Piccolo', 0.75, TRUE),
(40, 86, TO_TIMESTAMP('2020-12-04 12:04:00', 'YYYY-MM-DD HH24:MI:SS'), 59, 'Medio', 6.75, TRUE),
(41, 34, TO_TIMESTAMP('2022-10-01 00:45:00', 'YYYY-MM-DD HH24:MI:SS'), 44, 'Medio', 1.5, TRUE),
(42, 87, TO_TIMESTAMP('2021-09-12 20:29:00', 'YYYY-MM-DD HH24:MI:SS'), 57, 'Grande', 0.75, TRUE),
(43, 28, TO_TIMESTAMP('2021-04-23 19:53:00', 'YYYY-MM-DD HH24:MI:SS'), 51, 'Piccolo', 3.75, FALSE),
(44, 95, TO_TIMESTAMP('2020-01-06 12:11:00', 'YYYY-MM-DD HH24:MI:SS'), 51, 'Medio', 5.25, FALSE),
(45, 25, TO_TIMESTAMP('2020-03-25 10:36:00', 'YYYY-MM-DD HH24:MI:SS'), 60, 'Medio', 2.25, TRUE),
(46, 22, TO_TIMESTAMP('2020-03-28 18:12:00', 'YYYY-MM-DD HH24:MI:SS'), 53, 'Piccolo', 3.0, FALSE),
(47, 48, TO_TIMESTAMP('2022-08-03 21:44:00', 'YYYY-MM-DD HH24:MI:SS'), 49, 'Grande', 3.0, FALSE),
(48, 83, TO_TIMESTAMP('2021-07-14 22:41:00', 'YYYY-MM-DD HH24:MI:SS'), 43, 'Medio', 7.5, FALSE),
(49, 92, TO_TIMESTAMP('2022-06-01 18:04:00', 'YYYY-MM-DD HH24:MI:SS'), 57, 'Grande', 2.25, FALSE),
(50, 36, TO_TIMESTAMP('2020-10-10 20:41:00', 'YYYY-MM-DD HH24:MI:SS'), 55, 'Piccolo', 0.75, FALSE),
(51, 1, TO_TIMESTAMP('2021-01-07 00:51:00', 'YYYY-MM-DD HH24:MI:SS'), 47, 'Grande', 4.5, FALSE),
(52, 43, TO_TIMESTAMP('2020-06-03 05:38:00', 'YYYY-MM-DD HH24:MI:SS'), 59, 'Medio', 4.5, FALSE),
(53, 94, TO_TIMESTAMP('2022-01-01 02:04:00', 'YYYY-MM-DD HH24:MI:SS'), 60, 'Medio', 4.5, FALSE),
(54, 93, TO_TIMESTAMP('2021-07-17 13:53:00', 'YYYY-MM-DD HH24:MI:SS'), 58, 'Medio', 1.5, TRUE),
(55, 44, TO_TIMESTAMP('2020-12-23 12:39:00', 'YYYY-MM-DD HH24:MI:SS'), 53, 'Grande', 3.75, TRUE),
(56, 28, TO_TIMESTAMP('2020-10-20 11:16:00', 'YYYY-MM-DD HH24:MI:SS'), 47, 'Piccolo', 5.25, FALSE),
(57, 2, TO_TIMESTAMP('2020-08-04 13:04:00', 'YYYY-MM-DD HH24:MI:SS'), 55, 'Grande', 2.25, TRUE),
(58, 78, TO_TIMESTAMP('2022-10-13 16:46:00', 'YYYY-MM-DD HH24:MI:SS'), 42, 'Grande', 6.0, TRUE),
(59, 58, TO_TIMESTAMP('2020-09-03 02:05:00', 'YYYY-MM-DD HH24:MI:SS'), 42, 'Piccolo', 6.75, FALSE),
(60, 53, TO_TIMESTAMP('2020-08-09 02:42:00', 'YYYY-MM-DD HH24:MI:SS'), 49, 'Grande', 4.5, FALSE),
(61, 49, TO_TIMESTAMP('2022-03-12 03:00:00', 'YYYY-MM-DD HH24:MI:SS'), 41, 'Medio', 1.5, FALSE),
(62, 30, TO_TIMESTAMP('2022-06-14 21:46:00', 'YYYY-MM-DD HH24:MI:SS'), 42, 'Medio', 5.25, FALSE),
(63, 26, TO_TIMESTAMP('2020-03-20 13:49:00', 'YYYY-MM-DD HH24:MI:SS'), 58, 'Medio', 6.75, FALSE),
(64, 14, TO_TIMESTAMP('2021-03-03 23:10:00', 'YYYY-MM-DD HH24:MI:SS'), 45, 'Piccolo', 5.25, TRUE),
(65, 15, TO_TIMESTAMP('2021-09-23 23:49:00', 'YYYY-MM-DD HH24:MI:SS'), 44, 'Piccolo', 3.75, FALSE),
(66, 51, TO_TIMESTAMP('2020-04-07 04:05:00', 'YYYY-MM-DD HH24:MI:SS'), 47, 'Piccolo', 5.25, TRUE),
(67, 59, TO_TIMESTAMP('2022-09-04 08:50:00', 'YYYY-MM-DD HH24:MI:SS'), 56, 'Piccolo', 6.75, FALSE),
(68, 82, TO_TIMESTAMP('2021-09-14 20:10:00', 'YYYY-MM-DD HH24:MI:SS'), 55, 'Grande', 7.5, FALSE),
(69, 27, TO_TIMESTAMP('2021-11-16 20:35:00', 'YYYY-MM-DD HH24:MI:SS'), 48, 'Grande', 6.75, TRUE),
(70, 38, TO_TIMESTAMP('2020-11-15 12:18:00', 'YYYY-MM-DD HH24:MI:SS'), 43, 'Grande', 1.5, TRUE),
(71, 84, TO_TIMESTAMP('2021-02-28 01:25:00', 'YYYY-MM-DD HH24:MI:SS'), 52, 'Medio', 3.0, FALSE),
(72, 94, TO_TIMESTAMP('2021-08-01 22:54:00', 'YYYY-MM-DD HH24:MI:SS'), 45, 'Grande', 5.25, TRUE),
(73, 81, TO_TIMESTAMP('2021-02-16 04:47:00', 'YYYY-MM-DD HH24:MI:SS'), 47, 'Grande', 4.5, TRUE),
(74, 17, TO_TIMESTAMP('2021-08-19 06:05:00', 'YYYY-MM-DD HH24:MI:SS'), 52, 'Medio', 6.0, TRUE),
(75, 13, TO_TIMESTAMP('2022-02-20 02:12:00', 'YYYY-MM-DD HH24:MI:SS'), 46, 'Piccolo', 3.0, TRUE),
(76, 66, TO_TIMESTAMP('2020-10-02 11:32:00', 'YYYY-MM-DD HH24:MI:SS'), 46, 'Piccolo', 4.5, TRUE),
(77, 18, TO_TIMESTAMP('2020-11-02 07:15:00', 'YYYY-MM-DD HH24:MI:SS'), 58, 'Piccolo', 6.0, TRUE),
(78, 87, TO_TIMESTAMP('2022-08-25 00:24:00', 'YYYY-MM-DD HH24:MI:SS'), 53, 'Piccolo', 5.25, TRUE),
(79, 65, TO_TIMESTAMP('2020-09-08 19:22:00', 'YYYY-MM-DD HH24:MI:SS'), 51, 'Grande', 5.25, TRUE),
(80, 33, TO_TIMESTAMP('2020-09-07 06:43:00', 'YYYY-MM-DD HH24:MI:SS'), 46, 'Piccolo', 6.0, TRUE),
(81, 80, TO_TIMESTAMP('2022-10-08 18:27:00', 'YYYY-MM-DD HH24:MI:SS'), 60, 'Piccolo', 2.25, TRUE),
(82, 23, TO_TIMESTAMP('2022-12-10 14:49:00', 'YYYY-MM-DD HH24:MI:SS'), 47, 'Grande', 3.0, FALSE),
(83, 72, TO_TIMESTAMP('2021-03-05 07:57:00', 'YYYY-MM-DD HH24:MI:SS'), 41, 'Grande', 6.0, FALSE),
(84, 95, TO_TIMESTAMP('2022-09-07 10:55:00', 'YYYY-MM-DD HH24:MI:SS'), 60, 'Medio', 2.25, TRUE),
(85, 56, TO_TIMESTAMP('2020-07-02 12:29:00', 'YYYY-MM-DD HH24:MI:SS'), 41, 'Medio', 5.25, TRUE),
(86, 39, TO_TIMESTAMP('2022-03-28 07:28:00', 'YYYY-MM-DD HH24:MI:SS'), 44, 'Medio', 4.5, FALSE),
(87, 59, TO_TIMESTAMP('2022-05-10 21:31:00', 'YYYY-MM-DD HH24:MI:SS'), 58, 'Medio', 5.25, FALSE),
(88, 96, TO_TIMESTAMP('2021-01-10 23:18:00', 'YYYY-MM-DD HH24:MI:SS'), 45, 'Medio', 4.5, TRUE),
(89, 90, TO_TIMESTAMP('2022-06-26 22:11:00', 'YYYY-MM-DD HH24:MI:SS'), 58, 'Medio', 7.5, TRUE),
(90, 39, TO_TIMESTAMP('2021-11-01 08:14:00', 'YYYY-MM-DD HH24:MI:SS'), 42, 'Grande', 3.0, FALSE),
(91, 67, TO_TIMESTAMP('2022-12-02 11:53:00', 'YYYY-MM-DD HH24:MI:SS'), 57, 'Grande', 6.75, TRUE),
(92, 8, TO_TIMESTAMP('2022-02-13 14:38:00', 'YYYY-MM-DD HH24:MI:SS'), 44, 'Medio', 7.5, TRUE),
(93, 15, TO_TIMESTAMP('2020-01-16 08:46:00', 'YYYY-MM-DD HH24:MI:SS'), 60, 'Medio', 4.5, TRUE),
(94, 69, TO_TIMESTAMP('2021-07-15 04:13:00', 'YYYY-MM-DD HH24:MI:SS'), 60, 'Grande', 2.25, FALSE),
(95, 6, TO_TIMESTAMP('2020-03-11 05:37:00', 'YYYY-MM-DD HH24:MI:SS'), 47, 'Grande', 6.75, TRUE),
(96, 45, TO_TIMESTAMP('2022-07-08 20:00:00', 'YYYY-MM-DD HH24:MI:SS'), 57, 'Piccolo', 2.25, TRUE),
(97, 8, TO_TIMESTAMP('2020-01-07 13:27:00', 'YYYY-MM-DD HH24:MI:SS'), 60, 'Medio', 7.5, FALSE),
(98, 54, TO_TIMESTAMP('2020-12-28 07:03:00', 'YYYY-MM-DD HH24:MI:SS'), 58, 'Piccolo', 1.5, TRUE),
(99, 70, TO_TIMESTAMP('2021-10-10 07:50:00', 'YYYY-MM-DD HH24:MI:SS'), 44, 'Medio', 6.0, FALSE),
(100, 25, TO_TIMESTAMP('2021-12-07 00:27:00', 'YYYY-MM-DD HH24:MI:SS'), 56, 'Grande', 3.75, FALSE)
