101, 'PCR-SO', 48, 28, TO_TIMESTAMP('2021-03-26 12:02:00', 'YYYY-MM-DD HH24:MI:SS'), TO_TIMESTAMP('2021-03-26 21:04:00', 'YYYY-MM-DD HH24:MI:SS'), 23),
103, 'SO-PCR', 26, 46, TO_TIMESTAMP('2022-07-19 03:03:00', 'YYYY-MM-DD HH24:MI:SS'), TO_TIMESTAMP('2022-07-21 02:06:00', 'YYYY-MM-DD HH24:MI:SS'), 26),
104, 'PCR-SO', 60, 40, TO_TIMESTAMP('2021-01-15 22:06:00', 'YYYY-MM-DD HH24:MI:SS'), TO_TIMESTAMP('2021-01-17 15:28:00', 'YYYY-MM-DD HH24:MI:SS'), 45),
104, 'SO-CRS', 40, 20, TO_TIMESTAMP('2021-01-17 15:28:00', 'YYYY-MM-DD HH24:MI:SS'), TO_TIMESTAMP('2021-01-18 01:03:00', 'YYYY-MM-DD HH24:MI:SS'), 55),
104, 'CRS-CRS', 20, 9, TO_TIMESTAMP('2021-01-18 01:03:00', 'YYYY-MM-DD HH24:MI:SS'), TO_TIMESTAMP('2021-01-18 15:17:00', 'YYYY-MM-DD HH24:MI:SS'), 11),
104, 'CRS-SO', 9, 29, TO_TIMESTAMP('2021-01-18 15:17:00', 'YYYY-MM-DD HH24:MI:SS'), TO_TIMESTAMP('2021-01-20 05:14:00', 'YYYY-MM-DD HH24:MI:SS'), 25),
104, 'SO-PCR', 29, 49, TO_TIMESTAMP('2021-01-20 05:14:00', 'YYYY-MM-DD HH24:MI:SS'), TO_TIMESTAMP('2021-01-20 20:11:00', 'YYYY-MM-DD HH24:MI:SS'), 16),
105, 'PCR-SO', 52, 32, TO_TIMESTAMP('2022-01-31 13:34:00', 'YYYY-MM-DD HH24:MI:SS'), TO_TIMESTAMP('2022-02-01 10:05:00', 'YYYY-MM-DD HH24:MI:SS'), 84),
105, 'SO-CRS', 32, 12, TO_TIMESTAMP('2022-02-01 10:05:00', 'YYYY-MM-DD HH24:MI:SS'), TO_TIMESTAMP('2022-02-03 02:56:00', 'YYYY-MM-DD HH24:MI:SS'), 9),
105, 'CRS-CRS', 12, 6, TO_TIMESTAMP('2022-02-03 02:56:00', 'YYYY-MM-DD HH24:MI:SS'), TO_TIMESTAMP('2022-02-04 10:07:00', 'YYYY-MM-DD HH24:MI:SS'), 15),
105, 'CRS-SO', 6, 26, TO_TIMESTAMP('2022-02-04 10:07:00', 'YYYY-MM-DD HH24:MI:SS'), TO_TIMESTAMP('2022-02-05 03:26:00', 'YYYY-MM-DD HH24:MI:SS'), 60),
105, 'SO-PCR', 26, 46, TO_TIMESTAMP('2022-02-05 03:26:00', 'YYYY-MM-DD HH24:MI:SS'), TO_TIMESTAMP('2022-02-06 17:57:00', 'YYYY-MM-DD HH24:MI:SS'), 14),
106, 'PCR-SO', 50, 30, TO_TIMESTAMP('2021-09-20 20:07:00', 'YYYY-MM-DD HH24:MI:SS'), TO_TIMESTAMP('2021-09-22 18:35:00', 'YYYY-MM-DD HH24:MI:SS'), 25),
106, 'SO-CRS', 30, 10, TO_TIMESTAMP('2021-09-22 18:35:00', 'YYYY-MM-DD HH24:MI:SS'), TO_TIMESTAMP('2021-09-24 05:59:00', 'YYYY-MM-DD HH24:MI:SS'), 16),
106, 'CRS-CRS', 10, 17, TO_TIMESTAMP('2021-09-24 05:59:00', 'YYYY-MM-DD HH24:MI:SS'), TO_TIMESTAMP('2021-09-24 22:40:00', 'YYYY-MM-DD HH24:MI:SS'), 6),
106, 'CRS-SO', 17, 37, TO_TIMESTAMP('2021-09-24 22:40:00', 'YYYY-MM-DD HH24:MI:SS'), TO_TIMESTAMP('2021-09-25 15:13:00', 'YYYY-MM-DD HH24:MI:SS'), 44),
106, 'SO-PCR', 37, 57, TO_TIMESTAMP('2021-09-25 15:13:00', 'YYYY-MM-DD HH24:MI:SS'), TO_TIMESTAMP('2021-09-25 18:41:00', 'YYYY-MM-DD HH24:MI:SS'), 25),
107, 'PCR-SO', 42, 22, TO_TIMESTAMP('2022-09-20 04:46:00', 'YYYY-MM-DD HH24:MI:SS'), TO_TIMESTAMP('2022-09-20 19:09:00', 'YYYY-MM-DD HH24:MI:SS'), 57),
107, 'SO-CRS', 22, 2, TO_TIMESTAMP('2022-09-20 19:09:00', 'YYYY-MM-DD HH24:MI:SS'), TO_TIMESTAMP('2022-09-22 05:48:00', 'YYYY-MM-DD HH24:MI:SS'), 45),
107, 'CRS-CRS', 2, 1, TO_TIMESTAMP('2022-09-22 05:48:00', 'YYYY-MM-DD HH24:MI:SS'), TO_TIMESTAMP('2022-09-24 02:14:00', 'YYYY-MM-DD HH24:MI:SS'), 52),
107, 'CRS-SO', 1, 21, TO_TIMESTAMP('2022-09-24 02:14:00', 'YYYY-MM-DD HH24:MI:SS'), TO_TIMESTAMP('2022-09-24 15:08:00', 'YYYY-MM-DD HH24:MI:SS'), 2),
107, 'SO-PCR', 21, 41, TO_TIMESTAMP('2022-09-24 15:08:00', 'YYYY-MM-DD HH24:MI:SS'), TO_TIMESTAMP('2022-09-26 08:01:00', 'YYYY-MM-DD HH24:MI:SS'), 92),
108, 'PCR-SO', 51, 31, TO_TIMESTAMP('2022-05-29 00:57:00', 'YYYY-MM-DD HH24:MI:SS'), TO_TIMESTAMP('2022-05-29 05:56:00', 'YYYY-MM-DD HH24:MI:SS'), 2),
108, 'SO-CRS', 31, 11, TO_TIMESTAMP('2022-05-29 05:56:00', 'YYYY-MM-DD HH24:MI:SS'), TO_TIMESTAMP('2022-05-29 18:18:00', 'YYYY-MM-DD HH24:MI:SS'), 21),
108, 'CRS-CRS', 11, 20, TO_TIMESTAMP('2022-05-29 18:18:00', 'YYYY-MM-DD HH24:MI:SS'), TO_TIMESTAMP('2022-05-30 12:49:00', 'YYYY-MM-DD HH24:MI:SS'), 55),
108, 'CRS-SO', 20, 40, TO_TIMESTAMP('2022-05-30 12:49:00', 'YYYY-MM-DD HH24:MI:SS'), TO_TIMESTAMP('2022-05-31 09:29:00', 'YYYY-MM-DD HH24:MI:SS'), 92),
108, 'SO-PCR', 40, 60, TO_TIMESTAMP('2022-05-31 09:29:00', 'YYYY-MM-DD HH24:MI:SS'), TO_TIMESTAMP('2022-06-01 19:14:00', 'YYYY-MM-DD HH24:MI:SS'), 24),
109, 'PCR-SO', 55, 35, TO_TIMESTAMP('2022-05-31 16:14:00', 'YYYY-MM-DD HH24:MI:SS'), TO_TIMESTAMP('2022-06-01 23:19:00', 'YYYY-MM-DD HH24:MI:SS'), 60),
109, 'SO-CRS', 35, 15, TO_TIMESTAMP('2022-06-01 23:19:00', 'YYYY-MM-DD HH24:MI:SS'), TO_TIMESTAMP('2022-06-02 20:56:00', 'YYYY-MM-DD HH24:MI:SS'), 47),
109, 'CRS-CRS', 15, 13, TO_TIMESTAMP('2022-06-02 20:56:00', 'YYYY-MM-DD HH24:MI:SS'), TO_TIMESTAMP('2022-06-03 00:08:00', 'YYYY-MM-DD HH24:MI:SS'), 94),
109, 'CRS-SO', 13, 33, TO_TIMESTAMP('2022-06-03 00:08:00', 'YYYY-MM-DD HH24:MI:SS'), TO_TIMESTAMP('2022-06-03 06:57:00', 'YYYY-MM-DD HH24:MI:SS'), 69),
109, 'SO-PCR', 33, 53, TO_TIMESTAMP('2022-06-03 06:57:00', 'YYYY-MM-DD HH24:MI:SS'), TO_TIMESTAMP('2022-06-04 00:01:00', 'YYYY-MM-DD HH24:MI:SS'), 20),
110, 'PCR-SO', 60, 40, TO_TIMESTAMP('2021-05-26 16:01:00', 'YYYY-MM-DD HH24:MI:SS'), TO_TIMESTAMP('2021-05-27 14:30:00', 'YYYY-MM-DD HH24:MI:SS'), 37),
110, 'SO-CRS', 40, 20, TO_TIMESTAMP('2021-05-27 14:30:00', 'YYYY-MM-DD HH24:MI:SS'), TO_TIMESTAMP('2021-05-29 01:26:00', 'YYYY-MM-DD HH24:MI:SS'), 26),
110, 'CRS-CRS', 20, 7, TO_TIMESTAMP('2021-05-29 01:26:00', 'YYYY-MM-DD HH24:MI:SS'), TO_TIMESTAMP('2021-05-30 05:08:00', 'YYYY-MM-DD HH24:MI:SS'), 2),
110, 'CRS-SO', 7, 27, TO_TIMESTAMP('2021-05-30 05:08:00', 'YYYY-MM-DD HH24:MI:SS'), TO_TIMESTAMP('2021-06-01 02:32:00', 'YYYY-MM-DD HH24:MI:SS'), 66),
110, 'SO-PCR', 27, 47, TO_TIMESTAMP('2021-06-01 02:32:00', 'YYYY-MM-DD HH24:MI:SS'), TO_TIMESTAMP('2021-06-01 17:41:00', 'YYYY-MM-DD HH24:MI:SS'), 11),
111, 'PCR-SO', 50, 30, TO_TIMESTAMP('2022-06-15 18:25:00', 'YYYY-MM-DD HH24:MI:SS'), TO_TIMESTAMP('2022-06-17 09:20:00', 'YYYY-MM-DD HH24:MI:SS'), 66),
111, 'SO-CRS', 30, 10, TO_TIMESTAMP('2022-06-17 09:20:00', 'YYYY-MM-DD HH24:MI:SS'), TO_TIMESTAMP('2022-06-19 08:11:00', 'YYYY-MM-DD HH24:MI:SS'), 24),
111, 'CRS-CRS', 10, 7, TO_TIMESTAMP('2022-06-19 08:11:00', 'YYYY-MM-DD HH24:MI:SS'), TO_TIMESTAMP('2022-06-19 13:02:00', 'YYYY-MM-DD HH24:MI:SS'), 46),
111, 'CRS-SO', 7, 27, TO_TIMESTAMP('2022-06-19 13:02:00', 'YYYY-MM-DD HH24:MI:SS'), TO_TIMESTAMP('2022-06-21 01:20:00', 'YYYY-MM-DD HH24:MI:SS'), 9),
111, 'SO-PCR', 27, 47, TO_TIMESTAMP('2022-06-21 01:20:00', 'YYYY-MM-DD HH24:MI:SS'), TO_TIMESTAMP('2022-06-21 10:58:00', 'YYYY-MM-DD HH24:MI:SS'), 46),
112, 'PCR-SO', 41, 21, TO_TIMESTAMP('2020-04-11 11:44:00', 'YYYY-MM-DD HH24:MI:SS'), TO_TIMESTAMP('2020-04-13 07:42:00', 'YYYY-MM-DD HH24:MI:SS'), 47),
112, 'SO-CRS', 21, 1, TO_TIMESTAMP('2020-04-13 07:42:00', 'YYYY-MM-DD HH24:MI:SS'), TO_TIMESTAMP('2020-04-14 17:38:00', 'YYYY-MM-DD HH24:MI:SS'), 44),
112, 'CRS-CRS', 1, 16, TO_TIMESTAMP('2020-04-14 17:38:00', 'YYYY-MM-DD HH24:MI:SS'), TO_TIMESTAMP('2020-04-15 12:22:00', 'YYYY-MM-DD HH24:MI:SS'), 84),
112, 'CRS-SO', 16, 36, TO_TIMESTAMP('2020-04-15 12:22:00', 'YYYY-MM-DD HH24:MI:SS'), TO_TIMESTAMP('2020-04-16 17:46:00', 'YYYY-MM-DD HH24:MI:SS'), 11),
112, 'SO-PCR', 36, 56, TO_TIMESTAMP('2020-04-16 17:46:00', 'YYYY-MM-DD HH24:MI:SS'), TO_TIMESTAMP('2020-04-17 05:17:00', 'YYYY-MM-DD HH24:MI:SS'), 25),
113, 'PCR-SO', 41, 21, TO_TIMESTAMP('2023-03-01 10:06:00', 'YYYY-MM-DD HH24:MI:SS'), TO_TIMESTAMP('2023-03-03 07:17:00', 'YYYY-MM-DD HH24:MI:SS'), 25),
113, 'SO-CRS', 21, 1, TO_TIMESTAMP('2023-03-03 07:17:00', 'YYYY-MM-DD HH24:MI:SS'), TO_TIMESTAMP('2023-03-03 19:49:00', 'YYYY-MM-DD HH24:MI:SS'), 20),
113, 'CRS-CRS', 1, 11, TO_TIMESTAMP('2023-03-03 19:49:00', 'YYYY-MM-DD HH24:MI:SS'), TO_TIMESTAMP('2023-03-04 03:23:00', 'YYYY-MM-DD HH24:MI:SS'), 26),
113, 'CRS-SO', 11, 31, TO_TIMESTAMP('2023-03-04 03:23:00', 'YYYY-MM-DD HH24:MI:SS'), TO_TIMESTAMP('2023-03-04 08:50:00', 'YYYY-MM-DD HH24:MI:SS'), 25),
113, 'SO-PCR', 31, 51, TO_TIMESTAMP('2023-03-04 08:50:00', 'YYYY-MM-DD HH24:MI:SS'), TO_TIMESTAMP('2023-03-04 16:15:00', 'YYYY-MM-DD HH24:MI:SS'), 82),
114, 'PCR-SO', 54, 34, TO_TIMESTAMP('2020-10-20 14:43:00', 'YYYY-MM-DD HH24:MI:SS'), TO_TIMESTAMP('2020-10-21 10:15:00', 'YYYY-MM-DD HH24:MI:SS'), 46),
114, 'SO-CRS', 34, 14, TO_TIMESTAMP('2020-10-21 10:15:00', 'YYYY-MM-DD HH24:MI:SS'), TO_TIMESTAMP('2020-10-22 05:31:00', 'YYYY-MM-DD HH24:MI:SS'), 25),
114, 'CRS-CRS', 14, 14, TO_TIMESTAMP('2020-10-22 05:31:00', 'YYYY-MM-DD HH24:MI:SS'), TO_TIMESTAMP('2020-10-23 13:54:00', 'YYYY-MM-DD HH24:MI:SS'), 96),
114, 'CRS-SO', 14, 34, TO_TIMESTAMP('2020-10-23 13:54:00', 'YYYY-MM-DD HH24:MI:SS'), TO_TIMESTAMP('2020-10-23 17:16:00', 'YYYY-MM-DD HH24:MI:SS'), 41),
114, 'SO-PCR', 34, 54, TO_TIMESTAMP('2020-10-23 17:16:00', 'YYYY-MM-DD HH24:MI:SS'), TO_TIMESTAMP('2020-10-25 05:02:00', 'YYYY-MM-DD HH24:MI:SS'), 55),
115, 'PCR-SO', 44, 24, TO_TIMESTAMP('2020-06-19 20:10:00', 'YYYY-MM-DD HH24:MI:SS'), TO_TIMESTAMP('2020-06-21 08:49:00', 'YYYY-MM-DD HH24:MI:SS'), 25),
115, 'SO-CRS', 24, 4, TO_TIMESTAMP('2020-06-21 08:49:00', 'YYYY-MM-DD HH24:MI:SS'), TO_TIMESTAMP('2020-06-22 14:09:00', 'YYYY-MM-DD HH24:MI:SS'), 57),
115, 'CRS-CRS', 4, 13, TO_TIMESTAMP('2020-06-22 14:09:00', 'YYYY-MM-DD HH24:MI:SS'), TO_TIMESTAMP('2020-06-23 09:08:00', 'YYYY-MM-DD HH24:MI:SS'), 92),
115, 'CRS-SO', 13, 33, TO_TIMESTAMP('2020-06-23 09:08:00', 'YYYY-MM-DD HH24:MI:SS'), TO_TIMESTAMP('2020-06-25 05:04:00', 'YYYY-MM-DD HH24:MI:SS'), 46),
115, 'SO-PCR', 33, 53, TO_TIMESTAMP('2020-06-25 05:04:00', 'YYYY-MM-DD HH24:MI:SS'), TO_TIMESTAMP('2020-06-26 21:02:00', 'YYYY-MM-DD HH24:MI:SS'), 71),
116, 'PCR-SO', 57, 37, TO_TIMESTAMP('2023-01-09 05:05:00', 'YYYY-MM-DD HH24:MI:SS'), TO_TIMESTAMP('2023-01-11 02:36:00', 'YYYY-MM-DD HH24:MI:SS'), 11),
116, 'SO-CRS', 37, 17, TO_TIMESTAMP('2023-01-11 02:36:00', 'YYYY-MM-DD HH24:MI:SS'), TO_TIMESTAMP('2023-01-11 08:32:00', 'YYYY-MM-DD HH24:MI:SS'), 55),
116, 'CRS-CRS', 17, 1, TO_TIMESTAMP('2023-01-11 08:32:00', 'YYYY-MM-DD HH24:MI:SS'), TO_TIMESTAMP('2023-01-12 11:42:00', 'YYYY-MM-DD HH24:MI:SS'), 69),
116, 'CRS-SO', 1, 21, TO_TIMESTAMP('2023-01-12 11:42:00', 'YYYY-MM-DD HH24:MI:SS'), TO_TIMESTAMP('2023-01-13 10:32:00', 'YYYY-MM-DD HH24:MI:SS'), 71),
116, 'SO-PCR', 21, 41, TO_TIMESTAMP('2023-01-13 10:32:00', 'YYYY-MM-DD HH24:MI:SS'), TO_TIMESTAMP('2023-01-14 19:43:00', 'YYYY-MM-DD HH24:MI:SS'), 60),
117, 'PCR-SO', 52, 32, TO_TIMESTAMP('2021-07-21 00:47:00', 'YYYY-MM-DD HH24:MI:SS'), TO_TIMESTAMP('2021-07-21 17:13:00', 'YYYY-MM-DD HH24:MI:SS'), 84),
117, 'SO-CRS', 32, 12, TO_TIMESTAMP('2021-07-21 17:13:00', 'YYYY-MM-DD HH24:MI:SS'), TO_TIMESTAMP('2021-07-22 05:29:00', 'YYYY-MM-DD HH24:MI:SS'), 96),
117, 'CRS-CRS', 12, 1, TO_TIMESTAMP('2021-07-22 05:29:00', 'YYYY-MM-DD HH24:MI:SS'), TO_TIMESTAMP('2021-07-23 10:30:00', 'YYYY-MM-DD HH24:MI:SS'), 19),
117, 'CRS-SO', 1, 21, TO_TIMESTAMP('2021-07-23 10:30:00', 'YYYY-MM-DD HH24:MI:SS'), TO_TIMESTAMP('2021-07-23 20:07:00', 'YYYY-MM-DD HH24:MI:SS'), 61),
117, 'SO-PCR', 21, 41, TO_TIMESTAMP('2021-07-23 20:07:00', 'YYYY-MM-DD HH24:MI:SS'), TO_TIMESTAMP('2021-07-25 12:42:00', 'YYYY-MM-DD HH24:MI:SS'), 39),
118, 'PCR-SO', 57, 37, TO_TIMESTAMP('2021-10-22 03:44:00', 'YYYY-MM-DD HH24:MI:SS'), TO_TIMESTAMP('2021-10-23 14:53:00', 'YYYY-MM-DD HH24:MI:SS'), 94),
118, 'SO-CRS', 37, 17, TO_TIMESTAMP('2021-10-23 14:53:00', 'YYYY-MM-DD HH24:MI:SS'), TO_TIMESTAMP('2021-10-23 23:49:00', 'YYYY-MM-DD HH24:MI:SS'), 8),
118, 'CRS-CRS', 17, 16, TO_TIMESTAMP('2021-10-23 23:49:00', 'YYYY-MM-DD HH24:MI:SS'), TO_TIMESTAMP('2021-10-25 05:05:00', 'YYYY-MM-DD HH24:MI:SS'), 24),
118, 'CRS-SO', 16, 36, TO_TIMESTAMP('2021-10-25 05:05:00', 'YYYY-MM-DD HH24:MI:SS'), TO_TIMESTAMP('2021-10-25 16:04:00', 'YYYY-MM-DD HH24:MI:SS'), 13),
118, 'SO-PCR', 36, 56, TO_TIMESTAMP('2021-10-25 16:04:00', 'YYYY-MM-DD HH24:MI:SS'), TO_TIMESTAMP('2021-10-26 15:47:00', 'YYYY-MM-DD HH24:MI:SS'), 83),
119, 'PCR-SO', 59, 39, TO_TIMESTAMP('2021-10-21 16:44:00', 'YYYY-MM-DD HH24:MI:SS'), TO_TIMESTAMP('2021-10-23 08:05:00', 'YYYY-MM-DD HH24:MI:SS'), 12),
119, 'SO-CRS', 39, 19, TO_TIMESTAMP('2021-10-23 08:05:00', 'YYYY-MM-DD HH24:MI:SS'), TO_TIMESTAMP('2021-10-25 06:03:00', 'YYYY-MM-DD HH24:MI:SS'), 80),
119, 'CRS-CRS', 19, 1, TO_TIMESTAMP('2021-10-25 06:03:00', 'YYYY-MM-DD HH24:MI:SS'), TO_TIMESTAMP('2021-10-25 17:37:00', 'YYYY-MM-DD HH24:MI:SS'), 69),
119, 'CRS-SO', 1, 21, TO_TIMESTAMP('2021-10-25 17:37:00', 'YYYY-MM-DD HH24:MI:SS'), TO_TIMESTAMP('2021-10-27 04:26:00', 'YYYY-MM-DD HH24:MI:SS'), 45),
119, 'SO-PCR', 21, 41, TO_TIMESTAMP('2021-10-27 04:26:00', 'YYYY-MM-DD HH24:MI:SS'), TO_TIMESTAMP('2021-10-28 21:22:00', 'YYYY-MM-DD HH24:MI:SS'), 94),
120, 'PCR-SO', 53, 33, TO_TIMESTAMP('2022-10-13 17:14:00', 'YYYY-MM-DD HH24:MI:SS'), TO_TIMESTAMP('2022-10-13 23:57:00', 'YYYY-MM-DD HH24:MI:SS'), 86),
120, 'SO-CRS', 33, 13, TO_TIMESTAMP('2022-10-13 23:57:00', 'YYYY-MM-DD HH24:MI:SS'), TO_TIMESTAMP('2022-10-15 07:42:00', 'YYYY-MM-DD HH24:MI:SS'), 13),
120, 'CRS-CRS', 13, 13, TO_TIMESTAMP('2022-10-15 07:42:00', 'YYYY-MM-DD HH24:MI:SS'), TO_TIMESTAMP('2022-10-16 03:08:00', 'YYYY-MM-DD HH24:MI:SS'), 11),
120, 'CRS-SO', 13, 33, TO_TIMESTAMP('2022-10-16 03:08:00', 'YYYY-MM-DD HH24:MI:SS'), TO_TIMESTAMP('2022-10-16 23:09:00', 'YYYY-MM-DD HH24:MI:SS'), 16),
120, 'SO-PCR', 33, 53, TO_TIMESTAMP('2022-10-16 23:09:00', 'YYYY-MM-DD HH24:MI:SS'), TO_TIMESTAMP('2022-10-18 07:59:00', 'YYYY-MM-DD HH24:MI:SS'), 52),
121, 'PCR-SO', 59, 39, TO_TIMESTAMP('2022-02-20 02:09:00', 'YYYY-MM-DD HH24:MI:SS'), TO_TIMESTAMP('2022-02-21 19:17:00', 'YYYY-MM-DD HH24:MI:SS'), 7),
121, 'SO-CRS', 39, 19, TO_TIMESTAMP('2022-02-21 19:17:00', 'YYYY-MM-DD HH24:MI:SS'), TO_TIMESTAMP('2022-02-22 18:30:00', 'YYYY-MM-DD HH24:MI:SS'), 44),
121, 'CRS-CRS', 19, 12, TO_TIMESTAMP('2022-02-22 18:30:00', 'YYYY-MM-DD HH24:MI:SS'), TO_TIMESTAMP('2022-02-24 05:23:00', 'YYYY-MM-DD HH24:MI:SS'), 52),
121, 'CRS-SO', 12, 32, TO_TIMESTAMP('2022-02-24 05:23:00', 'YYYY-MM-DD HH24:MI:SS'), TO_TIMESTAMP('2022-02-25 09:00:00', 'YYYY-MM-DD HH24:MI:SS'), 47),
121, 'SO-PCR', 32, 52, TO_TIMESTAMP('2022-02-25 09:00:00', 'YYYY-MM-DD HH24:MI:SS'), TO_TIMESTAMP('2022-02-27 07:37:00', 'YYYY-MM-DD HH24:MI:SS'), 13),
122, 'PCR-SO', 45, 25, TO_TIMESTAMP('2020-09-08 11:02:00', 'YYYY-MM-DD HH24:MI:SS'), TO_TIMESTAMP('2020-09-08 21:36:00', 'YYYY-MM-DD HH24:MI:SS'), 25),
122, 'SO-CRS', 25, 5, TO_TIMESTAMP('2020-09-08 21:36:00', 'YYYY-MM-DD HH24:MI:SS'), TO_TIMESTAMP('2020-09-09 13:46:00', 'YYYY-MM-DD HH24:MI:SS'), 85),
122, 'CRS-CRS', 5, 10, TO_TIMESTAMP('2020-09-09 13:46:00', 'YYYY-MM-DD HH24:MI:SS'), TO_TIMESTAMP('2020-09-11 00:39:00', 'YYYY-MM-DD HH24:MI:SS'), 45),
122, 'CRS-SO', 10, 30, TO_TIMESTAMP('2020-09-11 00:39:00', 'YYYY-MM-DD HH24:MI:SS'), TO_TIMESTAMP('2020-09-11 07:53:00', 'YYYY-MM-DD HH24:MI:SS'), 2),
122, 'SO-PCR', 30, 50, TO_TIMESTAMP('2020-09-11 07:53:00', 'YYYY-MM-DD HH24:MI:SS'), TO_TIMESTAMP('2020-09-11 21:54:00', 'YYYY-MM-DD HH24:MI:SS'), 39),
123, 'PCR-SO', 51, 31, TO_TIMESTAMP('2020-07-27 17:36:00', 'YYYY-MM-DD HH24:MI:SS'), TO_TIMESTAMP('2020-07-28 16:54:00', 'YYYY-MM-DD HH24:MI:SS'), 20),
123, 'SO-CRS', 31, 11, TO_TIMESTAMP('2020-07-28 16:54:00', 'YYYY-MM-DD HH24:MI:SS'), TO_TIMESTAMP('2020-07-29 12:11:00', 'YYYY-MM-DD HH24:MI:SS'), 92),
123, 'CRS-CRS', 11, 3, TO_TIMESTAMP('2020-07-29 12:11:00', 'YYYY-MM-DD HH24:MI:SS'), TO_TIMESTAMP('2020-07-31 01:28:00', 'YYYY-MM-DD HH24:MI:SS'), 14),
123, 'CRS-SO', 3, 23, TO_TIMESTAMP('2020-07-31 01:28:00', 'YYYY-MM-DD HH24:MI:SS'), TO_TIMESTAMP('2020-08-02 00:21:00', 'YYYY-MM-DD HH24:MI:SS'), 47),
123, 'SO-PCR', 23, 43, TO_TIMESTAMP('2020-08-02 00:21:00', 'YYYY-MM-DD HH24:MI:SS'), TO_TIMESTAMP('2020-08-02 12:41:00', 'YYYY-MM-DD HH24:MI:SS'), 6),
124, 'PCR-SO', 54, 34, TO_TIMESTAMP('2021-06-24 19:42:00', 'YYYY-MM-DD HH24:MI:SS'), TO_TIMESTAMP('2021-06-25 23:31:00', 'YYYY-MM-DD HH24:MI:SS'), 83),
124, 'SO-CRS', 34, 14, TO_TIMESTAMP('2021-06-25 23:31:00', 'YYYY-MM-DD HH24:MI:SS'), TO_TIMESTAMP('2021-06-27 06:58:00', 'YYYY-MM-DD HH24:MI:SS'), 82),
124, 'CRS-CRS', 14, 11, TO_TIMESTAMP('2021-06-27 06:58:00', 'YYYY-MM-DD HH24:MI:SS'), TO_TIMESTAMP('2021-06-27 17:54:00', 'YYYY-MM-DD HH24:MI:SS'), 47),
